id,kategori,tanim,tip
KG001,METAL,çelik talaşı,kisa
KG002,METAL,demir tozu,kisa
KG003,METAL,bakır kablo hurda,kisa
KG004,METAL,alüminyum plaka fire,kisa
KG005,METAL,çinko kaplama atığı,kisa
KG006,METAL,paslanmaz çelik saç,kisa
KG007,METAL,kurşun akü parçası,kisa
KG008,METAL,titanyum talaş,kisa
KG009,METAL,DKP sac fire,kisaltma
KG010,METAL,HRP sac zımba,kisaltma
KG011,METAL,CNC talaş çeliği,kisaltma
KG012,METAL,ST52 profıl fire,kisaltma
KG013,METAL,steel scrap talaş,karma
KG014,METAL,stainless çelik hurda,karma
KG015,METAL,copper boru kırığı,karma
KG016,METAL,alu billet fire,karma
KG017,METAL,aluminyum profıl,yazim_hatali
KG018,METAL,paslanmas celik scrap,yazim_hatali
KG019,METAL,metal atık,genel
KG020,METAL,demir parça,genel
KG021,PLASTİK,pet şişe kırığı,kisa
KG022,PLASTİK,plastik palet fire,kisa
KG023,PLASTİK,pvc profil atık,kisa
KG024,PLASTİK,polietilen torba,kisa
KG025,PLASTİK,plastik ambalaj naylon,kisa
KG026,PLASTİK,plastik boru parçası,kisa
KG027,PLASTİK,plastik kova kırığı,kisa
KG028,PLASTİK,plastik kapak fire,kisa
KG029,PLASTİK,LDPE film artık,kisaltma
KG030,PLASTİK,HDPE granül fire,kisaltma
KG031,PLASTİK,PP palet kırığı,kisaltma
KG032,PLASTİK,ABS enjeksiyon fire,kisaltma
KG033,PLASTİK,PET bottle kırık,karma
KG034,PLASTİK,PP scrap atık,karma
KG035,PLASTİK,plastic pallet fire,karma
KG036,PLASTİK,HDPE pipe kırığı,karma
KG037,PLASTİK,polietlen granul,yazim_hatali
KG038,PLASTİK,pvc profıl fire,yazim_hatali
KG039,PLASTİK,plastik atık,genel
KG040,PLASTİK,plastik hurda,genel
KG041,ORGANİK,yemek artığı mutfak,kisa
KG042,ORGANİK,meyve kabukları atık,kisa
KG043,ORGANİK,sebze posası fire,kisa
KG044,ORGANİK,çay posası atığı,kisa
KG045,ORGANİK,kompost malzeme artık,kisa
KG046,ORGANİK,peynir altı suyu,kisa
KG047,ORGANİK,ekmek bayat kırıntı,kisa
KG048,ORGANİK,bitki dalları budama,kisa
KG049,ORGANİK,yağ filtresi posası,kisaltma
KG050,ORGANİK,kompost çürük meyve,kisaltma
KG051,ORGANİK,AHŞAP talaş fire,kisaltma
KG052,ORGANİK,OSB levha kırığı,kisaltma
KG053,ORGANİK,food waste artık,karma
KG054,ORGANİK,organic gübre atığı,karma
KG055,ORGANİK,kitchen scrap posa,karma
KG056,ORGANİK,compost malzeme fire,karma
KG057,ORGANİK,organık posa atıgı,yazim_hatali
KG058,ORGANİK,kompost malzeme curuf,yazim_hatali
KG059,ORGANİK,organik atık,genel
KG060,ORGANİK,bitkisel artık,genel
KG061,KİMYASAL,asit çözelti atığı,kisa
KG062,KİMYASAL,çözücü banyo fire,kisa
KG063,KİMYASAL,yağ emici malzeme,kisa
KG064,KİMYASAL,alkali temizleyici atık,kisa
KG065,KİMYASAL,vernik çamuru atığı,kisa
KG066,KİMYASAL,reçine artık kalıp,kisa
KG067,KİMYASAL,hidrolik yağ atığı,kisa
KG068,KİMYASAL,flokülant çamur,kisa
KG069,KİMYASAL,DROSS alüminyum tufal,kisaltma
KG070,KİMYASAL,CURUF demir oksit,kisaltma
KG071,KİMYASAL,PCB temizleme solvent,kisaltma
KG072,KİMYASAL,CNC soğutma sıvısı,kisaltma
KG073,KİMYASAL,chemical sludge çamur,karma
KG074,KİMYASAL,acid waste çözelti,karma
